mapper,averageWattConsumption,averageMaxWattConsumption,averageMaxWattPosition,averageInstants,averageDuration,averageJoules
dozer,11.34265633543517,15.005472700000002,9.15,90.2,10.662758803367614,120.92596086895647
jmapper,14.31856484113553,15.631480399999997,8,14.2,1.6697876691818236,23.907966079918022
mapstruct,12.807635,13.97833245,1,2.6,0.19888558387756347,2.543591165449639
modelmapper,11.837390358195067,15.4076029,11.35,85.9,10.123286640644073,119.83010799382767
orika,13.93420440815037,15.39767995,8.45,17.55,2.1027036786079405,29.311641046998687
