0/pid,0/consumption,1/pid,1/consumption,2/pid,2/consumption,3/pid,3/consumption,4/pid,4/consumption,5/pid,5/consumption,6/pid,6/consumption,7/pid,7/consumption,8/pid,8/consumption,9/pid,9/consumption,10/pid,10/consumption,11/pid,11/consumption,12/pid,12/consumption,13/pid,13/consumption,14/pid,14/consumption,15/pid,15/consumption,16/pid,16/consumption,17/pid,17/consumption,18/pid,18/consumption,19/pid,19/consumption,20/pid,20/consumption,21/pid,21/consumption,22/pid,22/consumption,23/pid,23/consumption,24/pid,24/consumption,25/pid,25/consumption,26/pid,26/consumption,27/pid,27/consumption,28/pid,28/consumption,29/pid,29/consumption,30/pid,30/consumption,31/pid,31/consumption,32/pid,32/consumption,33/pid,33/consumption,34/pid,34/consumption,35/pid,35/consumption,36/pid,36/consumption,37/pid,37/consumption,38/pid,38/consumption,39/pid,39/consumption,40/pid,40/consumption,41/pid,41/consumption,42/pid,42/consumption,43/pid,43/consumption,44/pid,44/consumption,45/pid,45/consumption,46/pid,46/consumption,47/pid,47/consumption,48/pid,48/consumption,49/pid,49/consumption,50/pid,50/consumption,51/pid,51/consumption,52/pid,52/consumption,53/pid,53/consumption,54/pid,54/consumption,55/pid,55/consumption,56/pid,56/consumption,57/pid,57/consumption,58/pid,58/consumption,59/pid,59/consumption,60/pid,60/consumption,61/pid,61/consumption,62/pid,62/consumption,63/pid,63/consumption,64/pid,64/consumption,65/pid,65/consumption,66/pid,66/consumption,67/pid,67/consumption,68/pid,68/consumption,69/pid,69/consumption,70/pid,70/consumption,71/pid,71/consumption,72/pid,72/consumption,73/pid,73/consumption,74/pid,74/consumption,75/pid,75/consumption,76/pid,76/consumption,77/pid,77/consumption,78/pid,78/consumption,79/pid,79/consumption,80/pid,80/consumption,81/pid,81/consumption,82/pid,82/consumption,83/pid,83/consumption,84/pid,84/consumption,85/pid,85/consumption,86/pid,86/consumption,87/pid,87/consumption,88/pid,88/consumption,89/pid,89/consumption,90/pid,90/consumption,91/pid,91/consumption,92/pid,92/consumption,93/pid,93/consumption
29283,11069839,29283,14396250,29283,14790895,29283,14522415,29283,13775607,29283,14900804,29283,14336405,29283,14485581,29283,14723217,29283,13976279,29283,14542831,29283,14370286,29283,14995130,29283,13809766,29283,14112175,29283,10627305,29283,13604510,29283,10751569,29283,10717241,29283,12049337,29283,12236900,29283,10450569,29283,12785509,29283,11120414,29283,10339044,29283,11838384,29283,11156855,29283,9536157,29283,10006168,29283,9655088,29283,9930726,29283,10308790,29283,10365219,29283,10960783,29283,9566854,29283,10740421,29283,10904548,29283,10301512,29283,11462151,29283,11487975,29283,11515745,29283,10934202,29283,11030400,29283,11502538,29283,11058445,29283,10536679,29283,12191854,29283,9763519,29283,12395120,29283,11668270,29283,11404162,29283,11594005,29283,10489280,29283,11611278,29283,11228566,29283,11605593,29283,11073795,29283,11981824,29283,11704636,29283,11700373,29283,12439687,29283,10567207,29283,11617783,29283,10533941,29283,11841612,29283,11394571,29283,10528016,29283,13150091,29283,11446505,29283,11074716,29283,11473507,29283,11417394,29283,13242154,29283,10487202,29283,12263820,29283,10472874,29283,11462190,29283,11058451,29283,11551238,29283,11697687,29283,11467955,,,,,,,,,,,,,,,,,,,,,,,,,,
29443,10032121,29443,15397032,29443,14564207,29443,13369604,29443,14732865,29443,14157128,29443,14253126,29443,13978148,29443,14258773,29443,15204602,29443,14239977,29443,14071111,29443,13801628,29443,15065277,29443,13525401,29443,15931625,29443,14360632,29443,14902030,29443,13760071,29443,12978547,29443,12209767,29443,11941371,29443,10818275,29443,9670668,29443,11749297,29443,12197912,29443,11122248,29443,10976948,29443,10630649,29443,11647744,29443,11149814,29443,11744479,29443,12568328,29443,9531530,29443,10960136,29443,11722489,29443,10428374,29443,10998000,29443,11244425,29443,11883037,29443,10303629,29443,11880311,29443,10293026,29443,11906505,29443,10304861,29443,11979412,29443,10305034,29443,11103915,29443,10302859,29443,11705404,29443,10362827,29443,12696249,29443,9416024,29443,11142401,29443,12034576,29443,11296360,29443,11998463,29443,11229919,29443,11332413,29443,10628028,29443,11492332,29443,12071559,29443,11184977,29443,10433117,29443,12613938,29443,11242582,29443,11548982,29443,11174899,29443,11330658,29443,11438519,29443,12174463,29443,10724407,29443,10309350,29443,11246435,29443,12246094,29443,11415806,29443,11084156,29443,11410160,29443,10520932,29443,12340215,29443,9805454,29443,12326015,29443,11455339,29443,11399425,29443,11654578,29443,10469251,,,,,,,,,,,,,,,,
29618,12064937,29618,11638008,29618,14745302,29618,14003910,29618,14390181,29618,14223994,29618,13871115,29618,13979182,29618,14465952,29618,14899826,29618,14333468,29618,14138954,29618,14332381,29618,14116092,29618,14020587,29618,14876856,29618,14301593,29618,14968152,29618,13561133,29618,14479547,29618,12756831,29618,11706197,29618,10097249,29618,10038287,29618,9171923,29618,10079192,29618,11994582,29618,11034233,29618,10180659,29618,10846900,29618,10293869,29618,9585608,29618,12689746,29618,11384415,29618,12766842,29618,9776038,29618,11397543,29618,11998582,29618,11472238,29618,11123502,29618,9699178,29618,12741403,29618,9789384,29618,12152038,29618,10437667,29618,12976251,29618,11481539,29618,11240064,29618,11433279,29618,12103114,29618,10552690,29618,11047364,29618,11239374,29618,10516822,29618,11486040,29618,12459688,29618,10329754,29618,12340638,29618,10596668,29618,11763946,29618,11026486,29618,11561919,29618,11444866,29618,11578087,29618,10859820,29618,11685105,29618,11495698,29618,9584559,29618,12430111,29618,11631127,29618,10426922,29618,11489327,29618,11731919,29618,10406621,29618,12134676,29618,10408136,29618,12305019,29618,10952432,29618,10549966,29618,11353956,29618,11587133,29618,11355454,29618,10328917,29618,11017030,29618,12301850,29618,12335026,29618,10420378,,,,,,,,,,,,,,
29773,12030997,29773,12825229,29773,16525783,29773,13983891,29773,14885255,29773,14154291,29773,13437983,29773,14687079,29773,14262830,29773,15004650,29773,15214625,29773,13711636,29773,14764425,29773,14829847,29773,14489187,29773,15669627,29773,14386786,29773,10817460,29773,11522806,29773,10931468,29773,12509263,29773,10576510,29773,12624916,29773,11559988,29773,10946749,29773,11761389,29773,10282610,29773,9477305,29773,11539166,29773,10186723,29773,10279014,29773,10874905,29773,11360861,29773,10229298,29773,11200461,29773,11484420,29773,11991687,29773,9773689,29773,12095790,29773,11361322,29773,11094265,29773,11395600,29773,11976585,29773,10633250,29773,10713479,29773,12426126,29773,12075837,29773,10394902,29773,11139490,29773,13206988,29773,9642329,29773,11174909,29773,10388385,29773,10892044,29773,11319174,29773,12831235,29773,11475135,29773,11595405,29773,9294458,29773,11259978,29773,13737165,29773,10921951,29773,11179058,29773,10989702,29773,10403081,29773,11526760,29773,10449372,29773,12945301,29773,9655809,29773,10534001,29773,12214968,29773,10312964,29773,12200734,29773,11338009,29773,10301851,29773,11541621,29773,11347567,29773,13008402,29773,9658761,29773,11347814,29773,11325158,29773,11369716,29773,10944410,,,,,,,,,,,,,,,,,,,,,,
29933,12493009,29933,13615008,29933,14521678,29933,13640242,29933,13845889,29933,14022832,29933,13553969,29933,14483276,29933,15237820,29933,13587972,29933,15120314,29933,13976350,29933,14589283,29933,14107410,29933,13926380,29933,14719363,29933,14689729,29933,14446033,29933,14155057,29933,14912364,29933,11946803,29933,12427928,29933,11067653,29933,10586808,29933,11021342,29933,11799017,29933,11550085,29933,11015959,29933,11033912,29933,9635608,29933,12179159,29933,9954036,29933,10928179,29933,9882716,29933,11255868,29933,10576131,29933,10454817,29933,9301202,29933,10490579,29933,10431960,29933,11228054,29933,9599294,29933,9778304,29933,12636343,29933,9652812,29933,11891803,29933,10416961,29933,9155855,29933,11965741,29933,9818974,29933,11867511,29933,10527957,29933,12171887,29933,11265940,29933,10773962,29933,11120010,29933,11350728,29933,10758915,29933,11365815,29933,11994204,29933,11702477,29933,9662096,29933,12229912,29933,11261367,29933,12245384,29933,10543667,29933,11008357,29933,10908346,29933,10536342,29933,14496490,29933,9677626,29933,10848520,29933,11123384,29933,11365637,29933,12189922,29933,10397981,29933,11351542,29933,10784151,29933,11360466,29933,11533416,29933,12210984,29933,10409286,29933,12172518,29933,10546215,29933,11394400,29933,12294666,29933,11137259,,,,,,,,,,,,,,
30100,11650895,30100,12593754,30100,15728595,30100,13249141,30100,13961785,30100,14283098,30100,14182414,30100,14763229,30100,14752406,30100,14445519,30100,13764670,30100,14528842,30100,13657460,30100,14193690,30100,14470492,30100,13792786,30100,15603644,30100,14937697,30100,13383657,30100,15088251,30100,13479161,30100,10509749,30100,9438203,30100,9662758,30100,9557101,30100,12713345,30100,9942159,30100,11066723,30100,9642815,30100,10834812,30100,11013673,30100,10319080,30100,9632542,30100,10624783,30100,9551609,30100,10213908,30100,10366344,30100,10386518,30100,10978470,30100,9004443,30100,10556716,30100,12430048,30100,11283657,30100,9709345,30100,11572705,30100,10263846,30100,10938340,30100,11677517,30100,8632821,30100,10966686,30100,11123794,30100,9078004,30100,11120589,30100,11199112,30100,9576875,30100,10753728,30100,11366609,30100,10811800,30100,10989562,30100,11415468,30100,11077351,30100,11419415,30100,11886862,30100,11002791,30100,11498066,30100,11537878,30100,11380600,30100,11470307,30100,10421618,30100,11471031,30100,11210793,30100,11081102,30100,10365684,30100,12041587,30100,9538936,30100,9551918,30100,12014693,30100,8960301,30100,11929751,30100,10310685,30100,10346322,30100,11380741,30100,10220314,30100,9831423,,,,,,,,,,,,,,,,,,,,
30270,12351161,30270,14730922,30270,13754125,30270,15037328,30270,14107454,30270,13809811,30270,14973526,30270,14917606,30270,14338211,30270,13721478,30270,14446774,30270,14119647,30270,14382783,30270,14564624,30270,14658058,30270,14211820,30270,13994773,30270,14915991,30270,13887514,30270,15371957,30270,14315736,30270,12866122,30270,12043306,30270,11852043,30270,10733843,30270,11119850,30270,13719204,30270,12011826,30270,11322605,30270,9614743,30270,10045986,30270,10906643,30270,10310903,30270,10844166,30270,10367947,30270,10241032,30270,9373287,30270,10362440,30270,11707046,30270,9707856,30270,11163282,30270,9759909,30270,11289341,30270,10391360,30270,10415275,30270,9664627,30270,11185015,30270,10478272,30270,10617382,30270,11216938,30270,10095582,30270,10441070,30270,10571361,30270,10571440,30270,11300234,30270,10692378,30270,10429326,30270,11345595,30270,11309632,30270,11321836,30270,10093520,30270,11602053,30270,12049530,30270,10508367,30270,12141247,30270,10122713,30270,12151578,30270,11233592,30270,9645028,30270,11483587,30270,11325990,30270,12705255,30270,10413283,30270,10361959,30270,11352976,30270,9637734,30270,12828232,30270,10514573,30270,11323686,30270,10696238,30270,11240173,30270,12069516,30270,10482072,30270,11339574,30270,11632323,30270,10472401,30270,12384813,30270,9649248,,,,,,,,,,,,
30421,11006501,30421,11925166,30421,15263229,30421,14011328,30421,14750367,30421,14389610,30421,14035328,30421,14430089,30421,14289562,30421,14232280,30421,14383813,30421,14406816,30421,14894538,30421,14243248,30421,14054616,30421,15450933,30421,14057380,30421,14330638,30421,14207210,30421,11202967,30421,10562984,30421,9329307,30421,10510792,30421,11674532,30421,10492042,30421,11069960,30421,11644221,30421,9962690,30421,10740952,30421,10279127,30421,10319442,30421,10349911,30421,10938502,30421,9384926,30421,11676843,30421,9650358,30421,11152574,30421,9722468,30421,11174462,30421,11075545,30421,10993619,30421,11400918,30421,10643753,30421,11164755,30421,11020636,30421,11322996,30421,10370333,30421,10467408,30421,11947298,30421,10533231,30421,11351892,30421,10507881,30421,12287962,30421,10816728,30421,10406877,30421,12264291,30421,12399697,30421,11415354,30421,11545639,30421,11488881,30421,12309783,30421,10499962,30421,12071914,30421,10414506,30421,11452855,30421,11676761,30421,12310585,30421,10195991,30421,10655186,30421,10239207,30421,11236716,30421,10632466,30421,12298384,30421,10615775,30421,11469319,30421,11571663,30421,11492856,30421,10654981,30421,12229043,30421,10509028,30421,11454535,30421,10583526,30421,11262544,30421,13048431,,,,,,,,,,,,,,,,,,,,
30568,11743089,30568,13319709,30568,15308717,30568,14279678,30568,14590336,30568,14089757,30568,14043859,30568,14949380,30568,14688142,30568,14988252,30568,13246842,30568,14957540,30568,14195794,30568,13975596,30568,14669822,30568,14173885,30568,14503526,30568,14817839,30568,14950759,30568,14728291,30568,14716673,30568,12972643,30568,11823487,30568,11318488,30568,9987389,30568,9784010,30568,10269989,30568,11506877,30568,11271898,30568,10543983,30568,10971834,30568,10330404,30568,10256958,30568,10195975,30568,12290491,30568,10234943,30568,10192077,30568,9572904,30568,10911287,30568,10114868,30568,10995610,30568,11814548,30568,10193291,30568,11438825,30568,11167577,30568,10595663,30568,11627769,30568,11545371,30568,9797516,30568,12273883,30568,10140844,30568,11320994,30568,12909646,30568,10311192,30568,11325731,30568,11438697,30568,11240899,30568,10796928,30568,12272830,30568,10825168,30568,11333495,30568,11333741,30568,10653056,30568,11337022,30568,10740263,30568,13023386,30568,10395062,30568,11504770,30568,10384990,30568,11247883,30568,11603785,30568,12264838,30568,12143015,30568,9703320,30568,12269258,30568,11592763,30568,10522700,30568,12234937,30568,10943008,30568,11349434,30568,11508121,30568,10637943,30568,10496882,30568,13094599,30568,10501745,30568,9939127,,,,,,,,,,,,,,,,
30734,12381292,30734,13751617,30734,15658721,30734,14281621,30734,14377180,30734,14105391,30734,14519018,30734,14696332,30734,14540426,30734,14131325,30734,13624203,30734,14301485,30734,14577094,30734,14047067,30734,15091017,30734,14542030,30734,13671700,30734,14357383,30734,13749549,30734,15717533,30734,14389649,30734,14346308,30734,12708385,30734,11835525,30734,11227725,30734,10535691,30734,11090345,30734,12711126,30734,10738829,30734,11183453,30734,11921465,30734,10354807,30734,10952124,30734,9729518,30734,11432012,30734,10973041,30734,11625918,30734,10021747,30734,9673214,30734,11496413,30734,11254909,30734,11301329,30734,10404810,30734,11247697,30734,10347530,30734,11301565,30734,11331312,30734,11947863,30734,10450831,30734,12128940,30734,10403923,30734,10405666,30734,11461619,30734,11274811,30734,10695755,30734,11255576,30734,11342092,30734,11289903,30734,10392583,30734,12959430,30734,9875112,30734,10529341,30734,11407481,30734,11503962,30734,10152841,30734,11253650,30734,9743079,30734,10793700,30734,10511429,30734,10383245,30734,11090066,30734,11282012,30734,11395662,30734,11363263,30734,10401432,30734,11100528,30734,11294894,30734,12180400,30734,10406720,30734,11356660,30734,10791127,30734,12327569,30734,10349888,30734,11243097,30734,10417797,,,,,,,,,,,,,,,,,,
