pid,consumption/0,consumption/1,consumption/2,consumption/3,consumption/4,consumption/5,consumption/6,consumption/7,consumption/8,consumption/9,consumption/10,consumption/11,consumption/12,consumption/13,consumption/14,consumption/15,consumption/16,consumption/17,consumption/18,consumption/19,consumption/20,consumption/21,consumption/22,consumption/23,consumption/24,consumption/25,consumption/26,consumption/27,consumption/28,consumption/29,consumption/30,consumption/31,consumption/32,consumption/33,consumption/34,consumption/35,consumption/36,consumption/37,consumption/38,consumption/39,consumption/40,consumption/41,consumption/42,consumption/43,consumption/44,consumption/45,consumption/46,consumption/47,consumption/48,consumption/49,consumption/50,consumption/51,consumption/52,consumption/53,consumption/54,consumption/55,consumption/56,consumption/57,consumption/58,consumption/59,consumption/60,consumption/61,consumption/62,consumption/63,consumption/64,consumption/65,consumption/66,consumption/67,consumption/68,consumption/69,consumption/70,consumption/71,consumption/72,consumption/73,consumption/74,consumption/75,consumption/76,consumption/77,consumption/78,consumption/79,consumption/80,consumption/81,consumption/82,consumption/83,consumption/84,consumption/85,consumption/86,consumption/87,consumption/88,consumption/89,consumption/90,consumption/91,consumption/92,consumption/93
29283,11069839,14396250,14790895,14522415,13775607,14900804,14336405,14485581,14723217,13976279,14542831,14370286,14995130,13809766,14112175,10627305,13604510,10751569,10717241,12049337,12236900,10450569,12785509,11120414,10339044,11838384,11156855,9536157,10006168,9655088,9930726,10308790,10365219,10960783,9566854,10740421,10904548,10301512,11462151,11487975,11515745,10934202,11030400,11502538,11058445,10536679,12191854,9763519,12395120,11668270,11404162,11594005,10489280,11611278,11228566,11605593,11073795,11981824,11704636,11700373,12439687,10567207,11617783,10533941,11841612,11394571,10528016,13150091,11446505,11074716,11473507,11417394,13242154,10487202,12263820,10472874,11462190,11058451,11551238,11697687,11467955,,,,,,,,,,,,,
29443,10032121,15397032,14564207,13369604,14732865,14157128,14253126,13978148,14258773,15204602,14239977,14071111,13801628,15065277,13525401,15931625,14360632,14902030,13760071,12978547,12209767,11941371,10818275,9670668,11749297,12197912,11122248,10976948,10630649,11647744,11149814,11744479,12568328,9531530,10960136,11722489,10428374,10998000,11244425,11883037,10303629,11880311,10293026,11906505,10304861,11979412,10305034,11103915,10302859,11705404,10362827,12696249,9416024,11142401,12034576,11296360,11998463,11229919,11332413,10628028,11492332,12071559,11184977,10433117,12613938,11242582,11548982,11174899,11330658,11438519,12174463,10724407,10309350,11246435,12246094,11415806,11084156,11410160,10520932,12340215,9805454,12326015,11455339,11399425,11654578,10469251,,,,,,,,
29618,12064937,11638008,14745302,14003910,14390181,14223994,13871115,13979182,14465952,14899826,14333468,14138954,14332381,14116092,14020587,14876856,14301593,14968152,13561133,14479547,12756831,11706197,10097249,10038287,9171923,10079192,11994582,11034233,10180659,10846900,10293869,9585608,12689746,11384415,12766842,9776038,11397543,11998582,11472238,11123502,9699178,12741403,9789384,12152038,10437667,12976251,11481539,11240064,11433279,12103114,10552690,11047364,11239374,10516822,11486040,12459688,10329754,12340638,10596668,11763946,11026486,11561919,11444866,11578087,10859820,11685105,11495698,9584559,12430111,11631127,10426922,11489327,11731919,10406621,12134676,10408136,12305019,10952432,10549966,11353956,11587133,11355454,10328917,11017030,12301850,12335026,10420378,,,,,,,
29773,12030997,12825229,16525783,13983891,14885255,14154291,13437983,14687079,14262830,15004650,15214625,13711636,14764425,14829847,14489187,15669627,14386786,10817460,11522806,10931468,12509263,10576510,12624916,11559988,10946749,11761389,10282610,9477305,11539166,10186723,10279014,10874905,11360861,10229298,11200461,11484420,11991687,9773689,12095790,11361322,11094265,11395600,11976585,10633250,10713479,12426126,12075837,10394902,11139490,13206988,9642329,11174909,10388385,10892044,11319174,12831235,11475135,11595405,9294458,11259978,13737165,10921951,11179058,10989702,10403081,11526760,10449372,12945301,9655809,10534001,12214968,10312964,12200734,11338009,10301851,11541621,11347567,13008402,9658761,11347814,11325158,11369716,10944410,,,,,,,,,,,
29933,12493009,13615008,14521678,13640242,13845889,14022832,13553969,14483276,15237820,13587972,15120314,13976350,14589283,14107410,13926380,14719363,14689729,14446033,14155057,14912364,11946803,12427928,11067653,10586808,11021342,11799017,11550085,11015959,11033912,9635608,12179159,9954036,10928179,9882716,11255868,10576131,10454817,9301202,10490579,10431960,11228054,9599294,9778304,12636343,9652812,11891803,10416961,9155855,11965741,9818974,11867511,10527957,12171887,11265940,10773962,11120010,11350728,10758915,11365815,11994204,11702477,9662096,12229912,11261367,12245384,10543667,11008357,10908346,10536342,14496490,9677626,10848520,11123384,11365637,12189922,10397981,11351542,10784151,11360466,11533416,12210984,10409286,12172518,10546215,11394400,12294666,11137259,,,,,,,
30100,11650895,12593754,15728595,13249141,13961785,14283098,14182414,14763229,14752406,14445519,13764670,14528842,13657460,14193690,14470492,13792786,15603644,14937697,13383657,15088251,13479161,10509749,9438203,9662758,9557101,12713345,9942159,11066723,9642815,10834812,11013673,10319080,9632542,10624783,9551609,10213908,10366344,10386518,10978470,9004443,10556716,12430048,11283657,9709345,11572705,10263846,10938340,11677517,8632821,10966686,11123794,9078004,11120589,11199112,9576875,10753728,11366609,10811800,10989562,11415468,11077351,11419415,11886862,11002791,11498066,11537878,11380600,11470307,10421618,11471031,11210793,11081102,10365684,12041587,9538936,9551918,12014693,8960301,11929751,10310685,10346322,11380741,10220314,9831423,,,,,,,,,,
30270,12351161,14730922,13754125,15037328,14107454,13809811,14973526,14917606,14338211,13721478,14446774,14119647,14382783,14564624,14658058,14211820,13994773,14915991,13887514,15371957,14315736,12866122,12043306,11852043,10733843,11119850,13719204,12011826,11322605,9614743,10045986,10906643,10310903,10844166,10367947,10241032,9373287,10362440,11707046,9707856,11163282,9759909,11289341,10391360,10415275,9664627,11185015,10478272,10617382,11216938,10095582,10441070,10571361,10571440,11300234,10692378,10429326,11345595,11309632,11321836,10093520,11602053,12049530,10508367,12141247,10122713,12151578,11233592,9645028,11483587,11325990,12705255,10413283,10361959,11352976,9637734,12828232,10514573,11323686,10696238,11240173,12069516,10482072,11339574,11632323,10472401,12384813,9649248,,,,,,
30421,11006501,11925166,15263229,14011328,14750367,14389610,14035328,14430089,14289562,14232280,14383813,14406816,14894538,14243248,14054616,15450933,14057380,14330638,14207210,11202967,10562984,9329307,10510792,11674532,10492042,11069960,11644221,9962690,10740952,10279127,10319442,10349911,10938502,9384926,11676843,9650358,11152574,9722468,11174462,11075545,10993619,11400918,10643753,11164755,11020636,11322996,10370333,10467408,11947298,10533231,11351892,10507881,12287962,10816728,10406877,12264291,12399697,11415354,11545639,11488881,12309783,10499962,12071914,10414506,11452855,11676761,12310585,10195991,10655186,10239207,11236716,10632466,12298384,10615775,11469319,11571663,11492856,10654981,12229043,10509028,11454535,10583526,11262544,13048431,,,,,,,,,,
30568,11743089,13319709,15308717,14279678,14590336,14089757,14043859,14949380,14688142,14988252,13246842,14957540,14195794,13975596,14669822,14173885,14503526,14817839,14950759,14728291,14716673,12972643,11823487,11318488,9987389,9784010,10269989,11506877,11271898,10543983,10971834,10330404,10256958,10195975,12290491,10234943,10192077,9572904,10911287,10114868,10995610,11814548,10193291,11438825,11167577,10595663,11627769,11545371,9797516,12273883,10140844,11320994,12909646,10311192,11325731,11438697,11240899,10796928,12272830,10825168,11333495,11333741,10653056,11337022,10740263,13023386,10395062,11504770,10384990,11247883,11603785,12264838,12143015,9703320,12269258,11592763,10522700,12234937,10943008,11349434,11508121,10637943,10496882,13094599,10501745,9939127,,,,,,,,
30734,12381292,13751617,15658721,14281621,14377180,14105391,14519018,14696332,14540426,14131325,13624203,14301485,14577094,14047067,15091017,14542030,13671700,14357383,13749549,15717533,14389649,14346308,12708385,11835525,11227725,10535691,11090345,12711126,10738829,11183453,11921465,10354807,10952124,9729518,11432012,10973041,11625918,10021747,9673214,11496413,11254909,11301329,10404810,11247697,10347530,11301565,11331312,11947863,10450831,12128940,10403923,10405666,11461619,11274811,10695755,11255576,11342092,11289903,10392583,12959430,9875112,10529341,11407481,11503962,10152841,11253650,9743079,10793700,10511429,10383245,11090066,11282012,11395662,11363263,10401432,11100528,11294894,12180400,10406720,11356660,10791127,12327569,10349888,11243097,10417797,,,,,,,,,
